Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website (if available),Denomination,Tradition,Latitude,Longitude,LEA
(Howth and) Malahide Presbyterian Church,Dublin Road,,Malahide,Dublin,,https://www.hmpchurch.org,PCI,Presbyterian/Reformed,53.45027,-6.15906,HOWTH-MALAHIDE
Abbey Presbyterian Church,Parnell Square North,,North Frederick Street,Dublin,,https://www.abbeychurch.ie,PCI,Presbyterian/Reformed,53.35442,-6.26392,NORTH INNER CITY
Abbey St Methodist Church,9c Lower Abbey Street,,Dublin 1,Dublin,D01 EY05,,Methodist,Methodist/Wesleyan,53.3486,-6.2592,NORTH INNER CITY
Abbey Street Methodist Church,9C Lower Abbey Street,Dublin Central Mission,Dublin 1,Dublin,D01 A3C4,dublincentralmission.ie,Methodist,Methodist/Wesleyan,53.348712,-6.258178,NORTH INNER CITY
Abundant Grace,"Unit 2, John Crossan Business Park, Bonagee",,Letterkenny,Donegal,F92 F862,,RCCG,Pentecostal/Charismatic,54.9452,-7.7123,LETTERKENNY
Abundant Grace Christian Assembly,"Regal House, 28 Fitzwilliam Street",Ringsend,Dublin 4,Dublin,D04 FH24,https://www.abundantgrace.ie,Various Pentecostal,Pentecostal/Charismatic,53.342294,-6.227141,SOUTH EAST INNER CITY
Abundant Life Christian Church,"Crown House, 55/56 Henry Street",,Limerick,Limerick,V94 PTY8,https://www.abunlife.com/,Christian Churches Ireland,Pentecostal/Charismatic,52.66103,-8.63137,LIMERICK CITY WEST
Abundant Life Family Church,"Abundant Life Family Church, Bluebell Lane",George Cooke Industrial Estate,Dublin,Dublin,D12 HPY2,https://www.facebook.com/abundantlifefamilychurchdublin/,Various Pentecostal,Pentecostal/Charismatic,53.329155,-6.346923,BALLYFERMOT-DRIMNAGH
Adare Methodist Church,Blackabbey Road,,Adare,Limerick,V94 TW83,,Methodist,Methodist/Wesleyan,52.5639,-8.7901,ADARE-RATHKEALE
Adelaide Road Presbyterian Church,18a Adelaide Road,,Dublin 2,Dublin,,https://www.adelaideroadchurch.ie,PCI,Presbyterian/Reformed,53.33266,-6.25829,SOUTH EAST INNER CITY
Adelaide Road Presbyterian Church,18A Adelaide Road,Dublin 2,Dublin,Dublin,D02 HP49,,PCI,Presbyterian/Reformed,53.332755,-6.258598,SOUTH EAST INNER CITY
AFM Praise Tabernacle,9 Portland Row,Dublin 1,Dublin,Dublin,,,Various Pentecostal,Pentecostal/Charismatic,53.356380,-6.24893,NORTH INNER CITY
Agape Family Centre,"Unit 6, Seapoint Business Park",,Tramore,Waterford,X91 E023,,RCCG,Pentecostal/Charismatic,52.1624,-7.1512,TRAMORE-WATERFORD CITY WEST
Agape Parish,"33 Belmont Court, Rochestown",,Ballincollig,Cork,T12 P652,,RCCG,Pentecostal/Charismatic,51.8794,-8.6012,CORK CITY SOUTH WEST
Aghada Presbyterian Church,"Church Road, Upper Aghada",,Midleton,Cork,,,PCI,Presbyterian/Reformed,51.83735,-8.21453,MIDLETON
Alive Chapel,Mill Park Road,,Enniscorthy,Wexford,,,Various Pentecostal,Pentecostal/Charismatic,52.499977,-6.567202,ENNISCORTHY
Alive Church Enniscorthy,Unit 2 Abbey Centre,,Enniscorthy,Wexford,Y21 V2X4,alivechurch.ie,Various Pentecostal,Pentecostal/Charismatic,52.500249,-6.565136,ENNISCORTHY
All Nations Assembly,"Apple Community Centre, Bunbury Gate Ave",,Swords,Dublin,K67 E903,,RCCG,Pentecostal/Charismatic,53.4564,-6.2134,SWORDS
All Nations Church,"National Stadium, 145 South Circular Road",,Dublin 8,Dublin,D08 HY40,https://www.allnations.ie/,Various Pentecostal,Pentecostal/Charismatic,53.330833,-6.280278,SOUTH WEST INNER CITY
All Saints Parish,"Trinity Hall, Behind KIA Motors, Dublin Road",,Portlaoise,Laois,R32 E023,,RCCG,Pentecostal/Charismatic,53.0324,-7.2912,PORTLAOISE
All Souls Parish,"Unit 36, Edenderry Business Park",,Edenderry,Offaly,R45 W902,,RCCG,Pentecostal/Charismatic,53.3412,-7.0512,EDENDERRY
Alt Presbyterian Church,"Alt Upper, Castlefin",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.76657,-7.59044,LIFFORD-STRANORLAR
"Amazing Grace Church, Westport",Castlebar Road,Drummindoo / Sheroe,Westport,Mayo,,amazinggracewestport.com,Elim Ministries Ireland,Pentecostal/Charismatic,53.803707,-9.49051,WESTPORT
Arann Reformed Baptist Church,Royal Marine Hotel Marine Road,,Dún Laoghaire,Dublin,,,Various Baptist,Baptist/Independent Evangelical,53.2923517,-6.1336491,DÚN LAOGHAIRE
Ardara Methodist Church,Front Street,,Ardara,Donegal,,,Methodist,Methodist/Wesleyan,54.763620,-8.41155,GLENTIES
Arklow Baptist Church,St Michael's Terrace,Tinahask Lower,Arklow,Wicklow,,arklowbaptistchurch.com,Various Baptist,Baptist/Independent Evangelical,52.793156,-6.148974,ARKLOW
Arklow Christian Community Church,"St Mary's Chapel, St Mary's Road",,Arklow,Wicklow,Y14 P957,,Various Pentecostal,Pentecostal/Charismatic,52.7944300,-6.14958,ARKLOW
Arklow Methodist Church,15-17 Ferrybank,,Arklow,Wicklow,Y14 VK65,,Methodist,Methodist/Wesleyan,52.7931,-6.1432,ARKLOW
Arklow Presbyterian Church,Dublin Road,,Arklow,Wicklow,,https://www.arklowpresbyterianchurch.com,PCI,Presbyterian/Reformed,52.80458,-6.14905,ARKLOW
Assembly of God Carlow,1 Castle Hill,Graigue,Carlow,Carlow,,https://www.facebook.com/Assemblyofgodcarlow/,Assemblies of God,Pentecostal/Charismatic,52.836607,-6.936136,CARLOW
Assembly of God Church Roscommon,2 St Theresa's Terrace,Ardnanagh,Roscommon,Roscommon,,https://www.agireland.org/,Assemblies of God,Pentecostal/Charismatic,53.624116,-8.199358,ROSCOMMON
Assembly of God Ennis,Clon Road Business Park Clonroad More,,Ennis,Clare,,,Assemblies of God,Pentecostal/Charismatic,52.842891,-8.973692,ENNIS
Assembly of God Ireland Ministry Carlow,Unit 6 Castle Hill,,Carlow,Carlow,R93 A970,,Assemblies of God,Pentecostal/Charismatic,52.8365755,-6.9352375,CARLOW
Assembly Of God Ireland Ministry Dublin,2 Rutland Place,Rotunda,Dublin 1,Dublin,D01 FP66,https://www.facebook.com/assemblyofgoddublinministrymadureira12/,Assemblies of God,Pentecostal/Charismatic,53.353764,-6.261279,NORTH INNER CITY
Assembly of Praise,Lusk,,Lusk,Dublin,K45 X762,,RCCG,Pentecostal/Charismatic,53.5243,-6.1624,RUSH-LUSK
Athenry Gospel Church,Athenry Community Hall Clarke Street,,Athenry,Galway,H65 KT10,,Independent Evangelical,Baptist/Independent Evangelical,"53.2973013,-8.7478859",,ATHENRY-ORANMORE
Athlone Baptist Church,Westlodge,Battery Road,Athlone,Westmeath,N37 FF80,www.cherithabc.com,ABCI,Baptist/Independent Evangelical,53.424940,-7.94494,ATHLONE
Athlone Methodist Church,Northgate Street,,Athlone,Westmeath,N37 ND76,,Methodist,Methodist/Wesleyan,53.4249,-7.9421,ATHLONE
Athy Methodist Church,5-6 Woodstock Street,,Athy,Kildare,R14 RH70,,Methodist,Methodist/Wesleyan,52.9921,-6.9832,ATHY
Athy Presbyterian Church,Dublin Road,,Athy,Kildare,,,PCI,Presbyterian/Reformed,52.99316,-6.97439,ATHY
Bailieborough - First Presbyterian Church,Corglass,,Bailieborough,Cavan,,https://www.bgpc.ie,PCI,Presbyterian/Reformed,53.95346,-6.97184,BAILIEBOROUGH-COOTEHILL
Bailieborough - Trinity Presbyterian Church,Virginia Road,,Bailieborough,Cavan,,https://www.bgpc.ie,PCI,Presbyterian/Reformed,53.91604,-6.96051,BAILIEBOROUGH-COOTEHILL
Balbriggan Baptist Church,St. George's National School,"Naul Road, Clogheder",Balbriggan,Dublin,K32 KC95,www.balbrigganbaptist.com,ABCI,Baptist/Independent Evangelical,53.607680,-6.18412,BALBRIGGAN
Balbriggan Presbyterian Church,Balbriggan Clubs Community Centre Dublin Street,,Balbriggan,Dublin,K32 NA00,,PCI,Presbyterian/Reformed,53.6074901,-6.1836503,BALBRIGGAN
Ballaghaderreen Baptist Church,Circular Road,,Ballaghaderreen,Roscommon,,,Various Baptist,Baptist/Independent Evangelical,53.9010000,-8.5767,BOYLE
Ballina Methodist Church,Wesley Place James Connolly Street,,Ballina,Mayo,,,Methodist,Methodist/Wesleyan,54.11194,-9.15664,BALLINA
Ballina Presbyterian Church,Walsh Street,,Ballina,Mayo,,https://www.ballinapresbyterian.ie,PCI,Presbyterian/Reformed,54.11443,-9.15282,BALLINA
Ballinasloe Christian Fellowship,The Storehouse,"Harbour Road, Townparks",Ballinasloe,Galway,H53 YD51,https://www.ballinasloechristianfellowship.com,Calvary Chapel,Other Protestant/Evangelical,53.3267919,-8.2204615,BALLINASLOE
Ballineen Methodist Church,West End,,Ballineen,Cork,P47 DW68,,Methodist,Methodist/Wesleyan,51.7332,-8.9661,SKIBBEREEN-WEST CORK
Ballingrane Methodist Church,Ballingrane,,Askeaton,Limerick,V94 H793,,Methodist,Methodist/Wesleyan,52.5661,-8.9332,ADARE-RATHKEALE
Ballintra Methodist Church,Main Street,,Ballintra,Donegal,,,Methodist,Methodist/Wesleyan,54.578820,-8.12481,DONEGAL
Ballyalbany Presbyterian Church,"Coolshannagh Road, Ballyalbany",,Monaghan,Monaghan,,https://www.ballyalbanychurch.com,PCI,Presbyterian/Reformed,54.26268,-6.96528,MONAGHAN
Ballybay - First Presbyterian Church,Derryvally,,Ballybay,Monaghan,,,PCI,Presbyterian/Reformed,54.13404,-6.93483,BALLYBAY-CLONES
Ballybay - Second Presbyterian Church,Hall Street,,Ballybay,Monaghan,,,PCI,Presbyterian/Reformed,54.12878,-6.90641,BALLYBAY-CLONES
Ballycullen Community Church,St. Colmcilles School,Scholarstown Rd,Dublin 16,Dublin,D16 H298,www.ballycullencc.com,ABCI,Baptist/Independent Evangelical,53.275944,-6.2768,FIRHOUSE-BOHERNABREENA
Ballyfermot Community Church,1 Drumfinn Park,"Drumfinn, Ballyfermot",Dublin 10,Dublin,D10 TX63,https://elimbcc.com/,Elim Ministries Ireland,Pentecostal/Charismatic,53.344088,-6.359767,BALLYFERMOT-DRIMNAGH
Ballylennon Presbyterian Church,"Listannagh, Saint Johnston",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.88789,-7.51102,LIFFORD-STRANORLAR
Bandon Methodist Church,Bridge Street,,Bandon,Cork,P72 KD27,,Methodist,Methodist/Wesleyan,51.7451,-8.7412,BANDON-KINSALE
Banner of Love Church Arklow,"The UpperRoom, Abbey Lane",,Arklow,Wicklow,Y14 PP23,,Various Pentecostal,Pentecostal/Charismatic,52.7999410,-6.144013,ARKLOW
Banner of Love Church Wicklow,"The Basement, Wicklow House, Market Square",,Wicklow Town,Wicklow,,,Various Pentecostal,Pentecostal/Charismatic,52.9798477,-6.0381429,WICKLOW
Bantry Christian Fellowship Church,Tower Street,near The Quay,Bantry,Cork,,https://bantrychristianfellowship.ie/,Independent Evangelical,Baptist/Independent Evangelical,51.679898,-9.456097,BANTRY-WEST CORK
Barrowvalley Community Church,"Unit 5A Barrowside Business Park, Sleaty Road",Graiguecullen,Carlow,Carlow,R93 X037,bvcchurch.com,Independent Evangelical,Baptist/Independent Evangelical,52.843242,-6.936739,GRAIGUECULLEN-PORTARLINGTON
Bellasis Presbyterian Church,N3 Drumgora,,Virginia,Cavan,,https://jeanmackarel.wixsite.com/cavanpresbyterian,PCI,Presbyterian/Reformed,53.87663,-7.12645,BALLYJAMESDUFF
Belturbet Baptist Church,The Goods Store,The Station,Belturbet,Cavan,H14 DP03,https://belturbetbaptist.ie/,ABCI,Baptist/Independent Evangelical,54.099154,-7.446291,CAVAN-BELTURBET
Betania Church,Powerstown Road,Tyrrelstown,Dublin 15,Dublin,D15 V0YK,https://www.betania.ie/en,Various Pentecostal,Pentecostal/Charismatic,53.414611,-6.394757,BLANCHARDSTOWN-MULHUDDART
Betel Dublin (Romanian),1 Parnell Square North,Rotunda,Dublin,Dublin,,beteldublin.com,International Church,Pentecostal/Charismatic,53.354534,-6.263908,NORTH INNER CITY
Bethany Church,16 Whitehall Close,,"Terenure, Dublin 6W",Dublin,,https://www.bethanychurch.ie,Independent Evangelical,Baptist/Independent Evangelical,53.306299,-6.318744,RATHFARNHAM-TEMPLEOGUE
Bethel Christian Assembly Dublin,"St Luke's Social Service Centre, Kilbarron Park, Kilmore West",,Dublin 5,Dublin,D05 W925,,Various Pentecostal,Pentecostal/Charismatic,53.3943,-6.2218,ARTANE-WHITEHALL
Bethel Parish,"Unit 28, Ballybrit Heights",,Galway City,Galway,H91 CH6C,,RCCG,Pentecostal/Charismatic,53.2894,-9.0123,GALWAY CITY EAST
Bethel Worship Centre,1 Drumfinn Park,,Dublin 10,Dublin,D10 TX63,,Various Pentecostal,Pentecostal/Charismatic,53.344167,-6.359596,BALLYFERMOT-DRIMNAGH
Bethlehem Christian Fellowship,"Unit 3B, Century Business Park, St Margaret's Road, Finglas",,Dublin 11,Dublin,D11 H972,https://www.bcfchurch.ie,Independent Evangelical,Baptist/Independent Evangelical,53.402099,-6.301452,BLANCHARDSTOWN-MULHUDDART
Birr Methodist,Emmet Street,,Birr,Offaly,R42 KC42,,Methodist,Methodist/Wesleyan,53.0945,-7.9122,BIRR
Biserica Muntele Sionului,143B Slaney Close,"Dublin Industrial Estate, Glasnevin, Dublin 11",Dublin,Dublin,,https://www.facebook.com/BisericaMunteleSionuluiDublin/,International Church,Pentecostal/Charismatic,53.375146,-6.289379,CABRA-GLASNEVIN
Blacklion Methodist Church,Cornagee Road,,Blacklion,Cavan,F91 PC97,,Methodist,Methodist/Wesleyan,54.290042,-7.887404,CAVAN-BELTURBET
Blackrock - St Andrew’s Presbyterian Church,18 Mount Merrion Avenue,,Blackrock,Dublin,,https://www.standrewschurchblackrock.ie,PCI,Presbyterian/Reformed,53.30182,-6.18379,BLACKROCK
Blackrock Community Church,St. Andrew's College,55 Booterstown Ave,Williamstown,Dublin,A94 P2N7,blackrockchurch.ie,ABCI,Baptist/Independent Evangelical,53.306740,-6.188417,BLACKROCK
Blanchardstown Baptist Church,Rath Dara Community College Blanchardstown Road North,,Dublin,Dublin,D15 P380,,Various Baptist,Baptist/Independent Evangelical,53.4014400,-6.37923,BLANCHARDSTOWN-MULHUDDART
Blanchardstown Methodist Church,1-21 Boulevard,"French Park, Tyrrelstown",Dublin 15,Dublin,D15 H5H0,blanchardstownmethodistchurch.com,Methodist,Methodist/Wesleyan,53.420376,-6.383319,BLANCHARDSTOWN-MULHUDDART
Borrisokane Methodist Church,Main Street,,Borrisokane,Tipperary,E45 F611,,Methodist,Methodist/Wesleyan,53.0231,-8.1282,NENAGH
Boyne Valley Baptist Church,Ballymakenny Road,,Drogheda,Louth,A92 P662,https://www.facebook.com/61557349603260/,Various Baptist,Baptist/Independent Evangelical,53.763505,-6.344261,DROGHEDA RURAL
Brannockstown Baptist Church,Brannockstown Baptist Church,,Brannockstown,Kildare,W91 K004,brannockstownbaptist.com,ABCI,Baptist/Independent Evangelical,53.127213,-6.707423,NEWBRIDGE
Bray - St. Andrew's Presbyterian Church,Quinsborough Road,,Bray,Wicklow,,https://www.standrewschurchbray.com,PCI,Presbyterian/Reformed,53.20468,-6.10672,BRAY EAST
Bray Christian Assembly,"Gospel Hall, 27 Florence Road",,Bray,Wicklow,A98 RD68,https://christianassemblybray.com,Christian Assembly,Brethren/Gospel Hall,53.203623,-6.107496,BRAY EAST
Bray Methodist Church,Eglinton Road,,Bray,Wicklow,A98 YR84,,Methodist,Methodist/Wesleyan,53.2012,-6.1081,BRAY EAST
Bridge Christian Community,1A Wexford Road,The Centre,Arklow,Wicklow,Y14 PA46,bccarklow.ie,Plumbline,Other Protestant/Evangelical,52.797066,-6.162182,ARKLOW
Burt Presbyterian Church,"Carrownamaddy, Speenoge",,Lifford,Donegal,,https://www.burtpresbyterianchurch.com,PCI,Presbyterian/Reformed,55.03933,-7.42582,BUNCRANA
CAC Outreach Athlone,"Unit 54, Athlone Civic Centre","Church Street, Blyry Industrial Estate",Athlone,Westmeath,,https://www.instagram.com/cacoutreachathlone/,Various Pentecostal,Pentecostal/Charismatic,53.431137,-7.897205,ATHLONE
Cahir Presbyterian Church,Abbey Street,,Cahir,Tipperary,,,PCI,Presbyterian/Reformed,52.37886,-7.92942,CAHIR
Calvary Baptist Church,Wilton Park House Bishopstown,,Cork,Cork,T12 YX3Y,,Various Baptist,Baptist/Independent Evangelical,51.8779173,-8.5121851,CORK CITY SOUTH WEST
Calvary Bible Baptist Church Bray,27 Florence Road,,Bray,Wicklow,A98 RD68,,Various Baptist,Baptist/Independent Evangelical,53.2036226,-6.1074959,BRAY EAST
Calvary Chapel Dublin,Mulhuddart Community Centre,Church Road,Mulhuddart,Dublin,D15 R2VF,https://www.ccdublin.com,Calvary Chapel,Other Protestant/Evangelical,53.4053206,-6.3940431,BLANCHARDSTOWN-MULHUDDART
Calvary Christian Centre Ltd,19A Muirfield Drive,"Off Naas Road, Inchicore, Bluebell",Dublin 12,Dublin,,https://ccireland.ie/,Christian Churches Ireland,Pentecostal/Charismatic,53.329004,-6.332522,BALLYFERMOT-DRIMNAGH
Calvary Church Ballina,Ballina Family Resource Centre,Abbey St / Ardnaree,Ballina,Mayo,F26 C6P6,,Independent Evangelical,Baptist/Independent Evangelical,54.1143,-9.157,BALLINA
Calvary Church Castlebar,Upper Chapel St,,Castlebar,Mayo,F23 DT02,calvarychurchcastlebar.ie,Independent Evangelical,Baptist/Independent Evangelical,53.857,-9.2982,CASTLEBAR
Calvary Church Charlestown,Community Enterprise Centre,Airport Rd,Charlestown,Mayo,,,Independent Evangelical,Baptist/Independent Evangelical,53.9634,-8.7943,SWINFORD
Calvary Church Claremorris,"Unit 7, Lakeside Retail Park",Ballindine Rd,Claremorris,Mayo,F12 YW82,,Independent Evangelical,Baptist/Independent Evangelical,53.7175,-9.0009,CLAREMORRIS
Calvary Church Gorey,"Ounavarra Suite, Amber Springs Hotel",,Gorey,Wexford,,,Calvary Chapel,Other Protestant/Evangelical,52.669096,-6.291371,GOREY
Calvary Church Loughrea,Loughrea Hotel & Spa,,Loughrea,Galway,H62 Y189,www.calvarychurchloughrea.com,Independent Evangelical,Baptist/Independent Evangelical,53.202562,-8.586116,LOUGHREA
Calvary Church Westport,Distillery Rd,,Westport,Co. Mayo,F28 P8X2,calvarywestport.ie,Independent Evangelical,Baptist/Independent Evangelical,53.800275,-9.517035,WESTPORT
Calvary Cork,25 South Side Industrial Estate,Pouladuff Road,Cork,Cork,T12 R792,https://www.calvarycork.org,Calvary Chapel,Other Protestant/Evangelical,51.8719849,-8.4883813,CORK CITY SOUTH WEST
Calvary Galway,Galway Bay Hotel,Upper Salthill,Galway,Galway,H91 W295,https://www.calvarygalway.com/,Calvary Chapel,Other Protestant/Evangelical,53.266791,-9.069394,GALWAY CITY WEST
Calvary Sligo,Devins Drive,Abbeyquarter South,Sligo,Sligo,F91 KNN3,https://www.calvarysligo.org/,Calvary Chapel,Other Protestant/Evangelical,54.266434,-8.464482,SLIGO-STRANDHILL
Calvary Waterford,59/60 Lower Yellow Road,,Waterford City,Waterford,X91 W278,https://www.calvarywaterford.com,Calvary Chapel,Other Protestant/Evangelical,52.259513,-7.122727,TRAMORE-WATERFORD CITY WEST
Carlow Methodist Church,Athy Road,,Carlow,Carlow,R93 RW31,,Methodist,Methodist/Wesleyan,52.8391,-6.9322,CARLOW
Carlow Presbyterian Church,Athy Road,,Carlow,Carlow,,https://www.carlowscotspc.ie,PCI,Presbyterian/Reformed,52.83995,-6.93037,CARLOW
Carndonagh Presbyterian Church,"Tulnaree, Carndonagh",,Lifford,Donegal,,https://www.inishowen4pc.com,PCI,Presbyterian/Reformed,55.2506,-7.23808,CARNDONAGH
Carnone Presbyterian Church,"Carnowen, Raphoe",,Lifford,Donegal,,,PCI,Presbyterian/Reformed,54.83888,-7.62536,LIFFORD-STRANORLAR
Carrickmacross Baptist Church,Woodlands Christian Centre,Magheross Road,Carrickmacross,Monaghan,A81N Y04,www.carrickbaptist.ie,ABCI,Baptist/Independent Evangelical,53.977744,-6.719579,CARRICKMACROSS-CASTLEBLAYNEY
Carrickmacross Presbyterian Church,Farney Street,,Carrickmacross,Monaghan,,,PCI,Presbyterian/Reformed,53.9785850,-6.720338,CARRICKMACROSS-CASTLEBLAYNEY
Carrickmacross RCCG,"Catholic Hall, O'Neill Street",,Carrickmacross,Monaghan,,,RCCG,Pentecostal/Charismatic,53.9802420,-6.719868,CARRICKMACROSS-CASTLEBLAYNEY
Carrigaline Baptist Church,Carrigaline Community Centre,Church Road,Carrigaline,Cork,P43T K70,www.carrigalinebaptist.org,ABCI,Baptist/Independent Evangelical,51.81496522837683, -8.386525629057074,CARRIGALINE
Carrigart Presbyterian Church,Church Road,,Carrigart,Donegal,,https://www.carrigartpresbyterianchurch.com,PCI,Presbyterian/Reformed,55.17627,-7.78911,MILFORD
Carrigtwohill Baptist Church,Carrigtwohill Community Centre,Main Street,Carrigtwohill,Cork,T45 X3N1,carrigtwohillbaptist.ie,ABCI,Baptist/Independent Evangelical,51.910550,-8.259964,COBH
Castlebar Christian Fellowship,The Mall,Rock Square,Castlebar,Mayo,F23 HX96,https://www.castlebarchristianfellowship.org/,Elim Ministries Ireland,Pentecostal/Charismatic,53.854923,-9.297844,CASTLEBAR
Castleblayney - First Presbyterian Church,"Mucknoo Street, Keady Road",,Castleblayney,Monaghan,,,PCI,Presbyterian/Reformed,54.12687,-6.73601,CARRICKMACROSS-CASTLEBLAYNEY
Cavan Baptist Church,Corglass,Oldtown,Cavan,Cavan,H12 ND36,www.cavanbaptist.ie,ABCI,Baptist/Independent Evangelical,53.990830,-7.36056,CAVAN-BELTURBET
Cavan Presbyterian Church,15 Farnham Street,,Cavan Town,Cavan,,https://jeanmackarel.wixsite.com/cavanpresbyterian,PCI,Presbyterian/Reformed,53.99146,-7.36264,CAVAN-BELTURBET
Centenary Methodist Church,Leeson Park,,Dublin 6,Dublin,D06 N152,,Methodist,Methodist/Wesleyan,53.3302,-6.2531,PEMBROKE
Chapel of Light,1A Cartronageeragh Industrial Estate,,Longford,Longford,N39 E023,,RCCG,Pentecostal/Charismatic,53.7294,-7.7912,LONGFORD
Chapel of Light,"Unit 8, Site 30-31, Duleek Business Park",,Duleek,Meath,A92 E023,,RCCG,Pentecostal/Charismatic,53.6543,-6.4123,LAYTOWN-BETTYSTOWN
Chapel of Mercy,"St. Mary's Church, Dublin Road",,Edgeworthstown,Longford,N39 E628,,RCCG,Pentecostal/Charismatic,53.6964,-7.6124,BALLYMAHON
Chapel of Restoration,"Unit 3, Adamstown Industrial Estate",,Adamstown,Dublin,K78 X409,,RCCG,Pentecostal/Charismatic,53.3384,-6.4423,LUCAN
Chinese Gospel Church Abbey Street,49 Middle Abbey Street,,Dublin 1,Dublin,D01 Y6W3,https://cgci.ie/abbey-street/,Chinese Gospel Church,Other Protestant/Evangelical,53.347521,-6.262674,NORTH INNER CITY
Chinese Gospel Church Esker House,"Esker House, Esker Road, Esker South",,Lucan,Dublin,,https://cgci.ie,Chinese Gospel Church,Other Protestant/Evangelical,53.349466,-6.441046,LUCAN
Chinese Gospel Church Portlaoise,Unit A11 National Enterprise Park,,Portlaoise,Laois,R32 HA21,,Chinese Gospel Church,Other Protestant/Evangelical,53.0226820,-7.31462,PORTLAOISE
Christ Church North Dublin,"Baldoyle Community Hall, Main Street, Baldoyle",,Dublin 13,Dublin,,,ICM,Other Protestant/Evangelical,53.3994197,-6.1277145,HOWTH-MALAHIDE
Christ Church Parish,Balbriggan,,Balbriggan,Dublin,K32 W720,,RCCG,Pentecostal/Charismatic,53.6123,-6.1824,BALBRIGGAN
Christ Church Presbyterian/Methodist,51 O'Connell Street,,Limerick,Limerick,V94 HPH9,,PCI,Presbyterian/Reformed,52.6612,-8.6293,LIMERICK CITY WEST
Christ Church Rathgar Presbyterian Church,Rathgar Road,,Rathgar,Dublin,,https://www.christchurchrathgar.org,PCI,Presbyterian/Reformed,53.31282,-6.27349,KIMMAGE-RATHMINES
Christ City Church Dublin,"Synge Street Secondary School, Synge Street",Portobello,Dublin 8,Dublin,,christcitychurch.ie,Independent Evangelical,Baptist/Independent Evangelical,53.333248,-6.267112,SOUTH EAST INNER CITY
Christ Embassy Cork,,,,,,,Various Pentecostal,Pentecostal/Charismatic,51.898225,-8.446947,CORK CITY SOUTH EAST
Christ Embassy Dublin,"Unit K2, Ballymount Drive, Ballymount Industrial Estate",,Dublin 12,Dublin,D12 Y590 (verify),,Various Pentecostal,Pentecostal/Charismatic,53.314298,-6.345679,RATHFARNHAM-TEMPLEOGUE
Christ Foundation Sanctuary,"Unit 2, Charlotte Street",,Carlow,Carlow,R93 WK25,,RCCG,Pentecostal/Charismatic,52.8354,-6.9311,CARLOW
Christ Life Centre,Ashbourne,,Ashbourne,Meath,A84 A662,,RCCG,Pentecostal/Charismatic,53.5124,-6.3984,ASHBOURNE
Christ Our Cornerstone,Laytown,,Laytown,Meath,A92 FP21,,RCCG,Pentecostal/Charismatic,53.6784,-6.2412,LAYTOWN-BETTYSTOWN
Christ the King,Castlebar,,Castlebar,Mayo,F23 E274,,RCCG,Pentecostal/Charismatic,53.8512,-9.2984,CASTLEBAR
Christian Assembly Evangelical Church,110 Middle Abbey Street,,Dublin,Dublin,D01 EH48,http://www.caec.ie/,Independent Evangelical,Baptist/Independent Evangelical,53.348113,-6.263342,NORTH INNER CITY
Christian Church Tralee,,,,,,,Independent Evangelical,Baptist/Independent Evangelical,52.268874,-9.691741,TRALEE
Christian Community Church Arklow,,,,,,,Independent Evangelical,Baptist/Independent Evangelical,52.803083,-6.144087,ARKLOW
Christian Congregation in Ireland - Ennis,Rear of 8 Carmody Street,Clonroad Beg,Ennis,Clare,,https://www.ccirl.ie/churchlocator/,Brethren,Pentecostal/Charismatic,52.84251,-8.987792,ENNIS
Christian Fellowship Church Dublin,Unit 6 Malahide Road Industrial Park Coolock,,Dublin,Dublin,D17 EP86,,Independent Evangelical,Baptist/Independent Evangelical,53.4010,-6.2089,ARTANE-WHITEHALL
Christian Fellowship Church Waterford,"Unit Two, Passage Cross",Dunmore Road,Waterford,Waterford,X91 W1XF,https://www.lifecommunitychurchwaterford.com,Various Pentecostal,Pentecostal/Charismatic,52.155016,-7.030819,WATERFORD CITY EAST
Church Of Christ Dublin,47 Ranelagh Road,,Dublin 6,Dublin,D06 C2P3,https://www.churchofchristireland.ie,Church of Christ,Other Protestant/Evangelical,53.326938,-6.256796,PEMBROKE
Church of Christ Knocklyon,Knocklyon Road Templeogue,,Dublin,Dublin,D16 Y157,,Church of Christ,Other Protestant/Evangelical,53.2841571,-6.3259815,FIRHOUSE-BOHERNABREENA
City Church Dublin,ODEON Point Square,"East Wall Road, Point Square",Dublin 1,Dublin,,https://citychurchdublin.ie,ICM,Other Protestant/Evangelical,53.34604,-6.272206,NORTH INNER CITY
City of David,Newbridge,,Newbridge,Kildare,W12 P262,,RCCG,Pentecostal/Charismatic,53.1812,-6.7912,NEWBRIDGE
Clare Bible Study,53 Parnell Street,,Ennis,Clare,V95 FTK5,,Various Baptist,Baptist/Independent Evangelical,52.8437679,-8.9857396,ENNIS
Clonakilty Methodist Church,Dunmanway Road,,Clonakilty,Cork,P85 TY80,,Methodist,Methodist/Wesleyan,51.6242,-8.8921,SKIBBEREEN-WEST CORK
Clondalkin Christian Fellowship,"Rowlagh Community Centre, Neilstown Road",,"Clondalkin, Dublin 22",Dublin,,https://clondalkinchristianfellowship.com,Independent Evangelical,Baptist/Independent Evangelical,53.343572,-6.398226,PALMERSTOWN-FONTHILL
